S Kolkata Chat,https:\/\/www.zomato.com\/chennai\/s-kolkata-chat-mylapore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 153, Luz Church Road, Near Nageshwar Rao Park, Mylapore, Chennai",Chennai
MC's Lunchbox,https:\/\/www.zomato.com\/mcs-lunchbox?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Porur, Chennai",Chennai
Leo Coffee,https:\/\/www.zomato.com\/chennai\/leo-coffee-mylapore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"18, South Mada Street, Mylapore, Chennai",Chennai
Mana Andhra,https:\/\/www.zomato.com\/chennai\/mana-andhra-nungambakkam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"18\/24, Khader Nawaskhan Road, Nungambakkam, Chennai",Chennai
Eddies Popcorn,https:\/\/www.zomato.com\/chennai\/eddies-popcorn-taramani?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"CSIR Road, Near Ascendas, Taramani, Chennai",Chennai
Kajaal's Tasty Bud,https:\/\/www.zomato.com\/chennai\/kajaals-tasty-bud-velachery?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"13, Velachery Main Road, Near Nilgiri's Departmental Store, Velachery, Chennai",Chennai
CBH,https:\/\/www.zomato.com\/chennai\/cbh-nungambakkam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"38, Near Valluvar Kottam Signal, Kodambakkam High Road, Nungambakkam, Chennai",Chennai
Karaikudi Chettinadu Mess,https:\/\/www.zomato.com\/chennai\/karaikudi-chettinadu-mess-saidapet?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"46.47, Jenis Road, Saidapet, Chennai",Chennai
Bakealicious,https:\/\/www.zomato.com\/chennai\/bakealicious-kilpauk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"19\/17, 1st floor, Sree Guru Apartments, Inner Circular Road, Kilpauk, Chennai",Chennai
Meat And Eat,https:\/\/www.zomato.com\/chennai\/meat-and-eat-egmore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"102, Shivalaya Building, Ethiraj Salai, Opposite Post Office, Egmore, Chennai",Chennai
Sri Annalakshmi,https:\/\/www.zomato.com\/chennai\/sri-annalakshmi-sholinganallur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"10, Anna Street, Sholinganallur, Chennai",Chennai
Quality Fast Food,https:\/\/www.zomato.com\/chennai\/quality-fast-food-anna-nagar-east?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No-41, 1st Main Road, 1st Avenue, G-Block, VOC Nagar, Anna Nagar East, Chennai",Chennai
CM Dhaba,https:\/\/www.zomato.com\/chennai\/cm-dhaba-royapuram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"27, Ennore High Road, Royapuram, Chennai",Chennai
Ze Flavors,https:\/\/www.zomato.com\/chennai\/ze-flavors-poonamalle?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Pleasant Days Resort, Next to Queensland Amusement Park, Chennai- Bangalore Highway, Palanjur- Sembarambakkam, Poonamalle, Chennai",Chennai
Capri,https:\/\/www.zomato.com\/chennai\/capri-royapettah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Old Number 122\/ New Number 6, Behind LIC Building, General Patters Road, Royapettah, Chennai",Chennai
Country Wagon,https:\/\/www.zomato.com\/chennai\/country-wagon-tambaram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"14, Elangovan Street, East, Tambaram, Chennai",Chennai
The Pasta Spoon,https:\/\/www.zomato.com\/chennai\/the-pasta-spoon-1-ramapuram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground FLoor, No. 1\/124, Block No. 05, Shivaji Garden, Mount Poonamallee Road, Ramapuram, Chennai",Chennai
Le Capsicum,https:\/\/www.zomato.com\/chennai\/le-capsicum-purasavakkam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Food Court, Abirami Mega Mall, 152, Purasavakkam High Road, Purasavakkam, Chennai",Chennai
Bayleaf OTG (On The Go),https:\/\/www.zomato.com\/chennai\/bayleaf-otg-on-the-go-gopalapuram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 14, 6th Street, Gopalapuram, Chennai",Chennai
Tandoori bay,https:\/\/www.zomato.com\/chennai\/tandoori-bay-taramani?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Planet Yumm Food Court, Harddy Tower, Block C, Ramanujan IT Park, Rajiv Gandhi Salai, Taramani, Chennai",Chennai
Pizza Hunt,https:\/\/www.zomato.com\/chennai\/pizza-hunt-gst-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Near SRM College, Kattankulathur, GST Road, Chennai",Chennai
Cafe 360,https:\/\/www.zomato.com\/chennai\/cafe-360-thuraipakkam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"361, Madakovil, Near Okkiyampet Bus Stand, Thuraipakkam, Chennai",Chennai
Oottupura,https:\/\/www.zomato.com\/chennai\/oottupura-royapettah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 165, Peters Road, Royapettah, Chennai",Chennai
Salem Thattu Vadai Kadai,https:\/\/www.zomato.com\/chennai\/salem-thattu-vadai-kadai-k-k-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"69 \/36 Ponnambalam Salai, KK.Nagar, Near Amman temple chennai 600078 ",Chennai
Indian Biriyani Centre,https:\/\/www.zomato.com\/chennai\/indian-biriyani-centre-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 4\/24C, 1st Street East, R.E. Nagar, Porur, Chennai",Chennai
Hotel Sai Bhavan,https:\/\/www.zomato.com\/chennai\/hotel-sai-bhavan-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No, 1\/2, Kundrathur Main Road, Madhanandhapuram, Porur, Chennai",Chennai
Dindigul Thalappakatti,https:\/\/www.zomato.com\/chennai\/dindigul-thalappakatti-guindy?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"New 2, Old 1, Venu Reddy Street, Guindy, Chennai",Chennai
Cake Talk,https:\/\/www.zomato.com\/chennai\/cake-talk-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 16, Vasagi Nagar, Magalivakkam Main Road, Madhanandhapuram, Porur, Chennai",Chennai
Madurai Appatha Restaurant & Biriyani,https:\/\/www.zomato.com\/chennai\/maduraoi-appatha-restaurant-biriyani-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 1B-A1, Parvathy Avenue, Mugalivakkam Main Road, Madhanandhapuram, Porur, Chennai",Chennai
Creamy Crumbs,https:\/\/www.zomato.com\/chennai\/creamy-crumbs-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 1B-1A, Parvathy Avenue, Mugalivakkam Main Road, Madhanandhapuram, Porur, Chennai",Chennai
Hotel Gopal,https:\/\/www.zomato.com\/chennai\/hotel-gopal-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Plot No. 1-A, Mugalivakkam Main Road, Madhanandhapuram, Porur, Chennai",Chennai
Root 2 Fruit,https:\/\/www.zomato.com\/chennai\/root-2-fruit-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 3\/105, Mugalivakkam Main Road, Madhanandapuram, Near Amma Canteen, Porur, Chennai",Chennai
Hotel City Park,https:\/\/www.zomato.com\/chennai\/hotel-city-park-1-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 2\/8, Kundrathur Road, Moulivakkam, Porur, Chennai",Chennai
Kongunadu Virundhu,https:\/\/www.zomato.com\/chennai\/kongunadu-virundhu-1-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 95\/5, Kundrathur Main Road, Gerugambakkam, Porur, Chennai",Chennai
Sami Fast Food,https:\/\/www.zomato.com\/chennai\/sami-fast-food-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 2\/9, Gandhi Nagar, Porur, Chennai",Chennai
Samudra Restaurant,https:\/\/www.zomato.com\/chennai\/samudra-restaurant-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 117, Mount Poonamallee High Road, Mugalivakkam, Porur, Chennai",Chennai
Pearls,https:\/\/www.zomato.com\/chennai\/pearls-gst-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"72, Pilliyar Koil Street, Srm Back Gate, Potheri, GST Road, Chennai",Chennai
London Bakery,https:\/\/www.zomato.com\/chennai\/london-bakery-ramapuram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 3\/16, Valluvar Salai",Chennai
Madras Royal,https:\/\/www.zomato.com\/chennai\/madras-royal-st-thomas-mount?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 7\/8, Karayar Kovil Street, St. Thomas Mount, Chennai",Chennai
Maha Lakshmi Mess,https:\/\/www.zomato.com\/chennai\/maha-lakshmi-mess-saidapet?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 41, Soodiammanpettai Street, Saidapet, Chennai",Chennai
Kannamma Biriyani,https:\/\/www.zomato.com\/chennai\/kannamma-biriyani-t-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 24\/3, 70 Feet Road, New Boag Road, Kannamapettai, T. Nagar, Chennai",Chennai
Baba Hotel,https:\/\/www.zomato.com\/chennai\/baba-hotel-t-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 24\/3, 70 Feet Road, New Boag Road, Kannamapettai",Chennai
Baba Fast Food,https:\/\/www.zomato.com\/chennai\/baba-fast-food-t-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 1\/1, 2nd Street, Corporation Colony, Muthurangan Salai, T. Nagar, Chennai",Chennai
Kumbakonam Filter Coffee,https:\/\/www.zomato.com\/chennai\/kumbakonam-filter-coffee-t-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 38\/39, A Block, Rameswaram Road, T. Nagar, Chennai",Chennai
